128,White-winged Duck,242
129,Hartlaub's Duck,115
130,Wood Duck,2831
131,Mandarin Duck,2934
132,Maned Duck,2799
133,African Pygmy Goose,618
134,Cotton Pygmy Goose,1094
135,Green Pygmy Goose,595
136,Brazilian Teal,1706
137,Ringed Teal,1937
138,Crested Duck,1664
139,Bronze-winged Duck,532
140,Baikal Teal,292
141,Garganey,1442
142,Hottentot Teal,332
143,Puna Teal,356
144,Silver Teal,486
145,Red Shoveler,460
146,Cinnamon Teal,1160
147,Blue-winged Teal,1339
148,Cape Shoveler,209
149,Australasian Shoveler,765
150,Northern Shoveler,2675
151,Gadwall,2785
152,Falcated Duck,488
153,Eurasian Wigeon,1842
154,Chiloe Wigeon,748
155,American Wigeon,1467
156,Amsterdam Wigeon,2
157,African Black Duck,431
158,Yellow-billed Duck,1229
159,Meller's Duck,187
160,Pacific Black Duck,3033
161,Laysan Duck,373
162,Hawaiian Duck,360
163,Philippine Duck,487
164,Indian Spot-billed Duck,2696
165,Eastern Spot-billed Duck,952
166,Mallard,3038
167,Mottled Duck,1982
168,American Black Duck,2485
169,Mexican Duck,811
171,White-cheeked Pintail,2346
172,Red-billed Teal,784
173,Yellow-billed Pintail,1842
174,Eaton's Pintail,28
175,Northern Pintail,2889
176,Eurasian Teal,2664
177,Green-winged Teal,2030
178,Yellow-billed Teal,1851
179,Andean Teal,463
180,Sunda Teal,301
181,Andaman Teal,76
182,Mascarene Teal,3
183,Grey Teal,1543
184,Chestnut Teal,1931
185,Bernier's Teal,315
186,Brown Teal,465
187,Auckland Teal,181
188,Campbell Teal,136
189,Marbled Duck,965
190,Pink-headed Duck,81
191,Red-crested Pochard,2873
192,Rosy-billed Pochard,1012
193,Southern Pochard,386
194,Canvasback,2807
195,Redhead,2767
196,Common Pochard,2675
197,Hardhead,1670
198,Madagascan Pochard,69
199,Baer's Pochard,311
200,Ferruginous Duck,2776
201,New Zealand Scaup,1059
202,Ring-necked Duck,2712
203,Tufted Duck,2805
204,Greater Scaup,2710
205,Lesser Scaup,2783
206,Steller's Eider,1128
207,Spectacled Eider,737
208,King Eider,2530
209,Common Eider,2892
210,Harlequin Duck,2837
211,Labrador Duck,107
212,Surf Scoter,2227
213,Velvet Scoter,1757
214,White-winged Scoter,1173
215,Common Scoter,1756
216,Black Scoter,1160
217,Long-tailed Duck,2804
218,Bufflehead,2683
219,Common Goldeneye,2785
220,Barrow's Goldeneye,2609
221,Smew,2436
222,Hooded Merganser,2723
223,New Zealand Merganser,10
224,Brazilian Merganser,232
225,Common Merganser,2555
226,Red-breasted Merganser,2727
227,Scaly-sided Merganser,418
228,Black-headed Duck,300
229,Masked Duck,762
230,Ruddy Duck,2746
231,Andean Duck,327
232,Lake Duck,674
233,Blue-billed Duck,1188
234,Maccoa Duck,185
235,White-headed Duck,1493
236,Musk Duck,1100
237,Australian Brushturkey,1710
238,Wattled Brushturkey,36
239,Waigeo Brushturkey,10
240,Red-billed Brushturkey,10
241,Black-billed Brushturkey,14
242,Collared Brushturkey,5
243,Malleefowl,467
244,Maleo,422
245,Moluccan Megapode,34
246,Tongan Megapode,35
247,Micronesian Megapode,44
248,Nicobar Megapode,12
249,Philippine Megapode,100
250,Sula Megapode,20
251,Tanimbar Megapode,6
252,Dusky Megapode,48
253,Biak Scrubfowl,10
254,Melanesian Megapode,40
255,Vanuatu Megapode,14
256,New Guinea Scrubfowl,11
257,Orange-footed Scrubfowl,696
258,Plain Chachalaca,1504
259,Grey-headed Chachalaca,1105
260,Chestnut-winged Chachalaca,117
261,Rufous-vented Chachalaca,583
262,Rufous-headed Chachalaca,148
263,Rufous-bellied Chachalaca,186
264,West Mexican Chachalaca,259
265,Chaco Chachalaca,692
266,White-bellied Chachalaca,145
267,Speckled Chachalaca,593
268,East Brazilian Chachalaca,79
269,Scaled Chachalaca,120
270,Colombian Chachalaca,588
271,Little Chachalaca,129
272,Chestnut-headed Chachalaca,4
273,Buff-browed Chachalaca,15
274,Band-tailed Guan,227
275,Bearded Guan,79
276,Baudo Guan,85
277,Andean Guan,550
278,Marail Guan,66
279,Rusty-margined Guan,378
280,Red-faced Guan,53
281,Crested Guan,1327
282,Cauca Guan,276
283,White-winged Guan,228
284,Spix's Guan,333
285,Dusky-legged Guan,1214
286,White-crested Guan,132
287,Chestnut-bellied Guan,282
288,White-browed Guan,141
289,Trinidad Piping Guan,202
290,Blue-throated Piping Guan,436
291,Red-throated Piping Guan,154
292,Black-fronted Piping Guan,265
293,Wattled Guan,95
294,Black Guan,558
295,Sickle-winged Guan,446
296,Highland Guan,113
297,Horned Guan,259
298,Nocturnal Curassow,391
299,Crestless Curassow,71
300,Salvin's Curassow,386
301,Razor-billed Curassow,189
302,Alagoas Curassow,54
303,Helmeted Curassow,459
304,Horned Curassow,26
305,Sira Curassow,16
306,Great Curassow,1501
307,Blue-billed Curassow,292
308,Yellow-knobbed Curassow,245
309,Black Curassow,274
310,Wattled Curassow,128
311,Bare-faced Curassow,1097
312,Red-billed Curassow,190
313,White-breasted Guineafowl,44
314,Black Guineafowl,15
315,Helmeted Guineafowl,2350
316,Plumed Guineafowl,30
317,Crested Guineafowl,508
318,Vulturine Guineafowl,1005
319,Stone Partridge,153
320,Nahan's Partridge,5
321,Bearded Wood Partridge,36
322,Long-tailed Wood Partridge,42
323,Buffy-crowned Wood Partridge,102
324,Mountain Quail,564
325,Scaled Quail,1305
326,Elegant Quail,122
327,California Quail,2794
328,Gambel's Quail,2415
329,Banded Quail,59
330,Northern Bobwhite,1846
331,Yucatan Bobwhite,163
332,Spot-bellied Bobwhite,50
333,Crested Bobwhite,540
334,Marbled Wood Quail,119
335,Spot-winged Wood Quail,196
336,Black-eared Wood Quail,40
337,Rufous-fronted Wood Quail,50
338,Black-fronted Wood Quail,106
339,Chestnut Wood Quail,57
340,Dark-backed Wood Quail,275
341,Rufous-breasted Wood Quail,60
342,Tacarcuna Wood Quail,3
343,Gorgeted Wood Quail,42
344,Venezuelan Wood Quail,6
345,Black-breasted Wood Quail,47
346,Stripe-faced Wood Quail,16
347,Starred Wood Quail,32
348,Spotted Wood Quail,309
349,Singing Quail,104
350,Montezuma Quail,640
351,Ocellated Quail,76
352,Tawny-faced Quail,50
353,Wild Turkey,2703
354,Ocellated Turkey,908
355,Ruffed Grouse,2467
356,Hazel Grouse,497
357,Chinese Grouse,23
358,Siberian Grouse,181
359,Spruce Grouse,2074
360,Western Capercaillie,1975
361,Black-billed Capercaillie,96
362,Black Grouse,3079
363,Caucasian Grouse,98
364,Sage Grouse,1964
365,Gunnison Grouse,100
366,Dusky Grouse,1433
367,Sooty Grouse,1321
368,Sharp-tailed Grouse,1756
369,Lesser Prairie Chicken,941
370,Greater Prairie Chicken,1802
371,White-tailed Ptarmigan,1277
372,Rock Ptarmigan,2778
373,Willow Ptarmigan,2737
374,Snow Partridge,164
375,Verreaux's Monal-Partridge,36
376,Szechenyi's Monal-Partridge,29
377,Caucasian Snowcock,109
378,Caspian Snowcock,93
379,Himalayan Snowcock,191
380,Tibetan Snowcock,286
381,Altai Snowcock,66
382,Rock Partridge,469
383,Chukar Partridge,1785
384,Przevalski's Partridge,27
385,Philby's Partridge,34
386,Barbary Partridge,505
387,Red-legged Partridge,2758
388,Arabian Partridge,184
389,See-see Partridge,108
390,Sand Partridge,405
391,Black Francolin,763
392,Painted Francolin,163
393,Chinese Francolin,144
394,Grey Francolin,1539
395,Swamp Francolin,108
396,Latham's Francolin,13
397,Coqui Francolin,342
398,White-throated Francolin,49
399,Schlegel's Francolin,20
400,Ring-necked Francolin,19
401,Grey-winged Francolin,154
402,Red-winged Francolin,98
403,Finsch's Francolin,7
404,Shelley's Francolin,115
405,Moorland Francolin,67
406,Orange River Francolin,93
407,Crested Francolin,721
408,Scaly Francolin,80
409,Ahanta Francolin,12
410,Grey-striped Francolin,12
411,Hildebrandt's Francolin,103
412,Double-spurred Francolin,134
413,Heuglin's Francolin,50
414,Clapperton's Francolin,82
415,Harwood's Francolin,47
416,Swierstra's Francolin,6
417,Mount Cameroon Francolin,7
418,Handsome Francolin,64
419,Jackson's Francolin,64
420,Chestnut-naped Francolin,122
421,Black-fronted Francolin,26
422,Djibouti Francolin,17
423,Erckel's Francolin,246
424,Hartlaub's Spurfowl,60
425,Red-billed Spurfowl,449
426,Cape Spurfowl,412
427,Natal Spurfowl,404
428,Yellow-necked Spurfowl,471
429,Grey-breasted Spurfowl,146
430,Red-necked Spurfowl,428
431,Swainson's Spurfowl,467
432,Grey Partridge,2774
433,Daurian Partridge,162
434,Tibetan Partridge,179
435,Long-billed Partridge,21
436,Hose's Partridge,5
437,Madagascan Partridge,74
438,Black Partridge,57
439,Common Quail,851
440,Japanese Quail,352
441,Rain Quail,344
442,Harlequin Quail,266
443,Stubble Quail,152
444,New Zealand Quail,37
445,Brown Quail,845
446,King Quail,249
447,Blue Quail,40
448,Snow Mountain Quail,26
449,Jungle Bush Quail,388
450,Rock Bush Quail,177
451,Painted Bush Quail,142
452,Manipur Bush Quail,32
453,Himalayan Quail,36
454,Udzungwa Forest Partridge,9
455,Rubeho Forest Partridge,3
456,Hill Partridge,115
457,Rufous-throated Partridge,416
458,White-cheeked Partridge,34
459,Taiwan Partridge,249
460,Chestnut-breasted Partridge,26
461,Bar-backed Partridge,223
462,Sichuan Partridge,7
463,White-necklaced Partridge,83
464,Orange-necked Partridge,15
465,Chestnut-headed Partridge,23
466,Siamese Partridge,2
467,Malaysian Partridge,238
468,Roll's Partridge,6
469,Sumatran Partridge,5
470,Grey-breasted Partridge,55
471,Chestnut-bellied Partridge,71
472,Red-billed Partridge,24
473,Red-breasted Partridge,66
474,Hainan Partridge,14
475,Chestnut-necklaced Partridge,91
476,Green-legged Partridge,246
477,Ferruginous Partridge,285
478,Crimson-headed Partridge,91
479,Crested Partridge,593
480,Mountain Bamboo Partridge,407
481,Chinese Bamboo Partridge,231
482,Taiwan Bamboo Partridge,124
483,Red Spurfowl,259
484,Painted Spurfowl,332
485,Sri Lanka Spurfowl,101
486,Blood Pheasant,435
487,Western Tragopan,66
488,Satyr Tragopan,378
489,Blyth's Tragopan,83
490,Temminck's Tragopan,513
491,Cabot's Tragopan,232
492,Koklass Pheasant,252
493,Himalayan Monal,916
494,Sclater's Monal,51
495,Chinese Monal,111
496,Red Junglefowl,2378
497,Grey Junglefowl,621
498,Sri Lanka Junglefowl,387
499,Green Junglefowl,409
500,Kalij Pheasant,1350
501,Silver Pheasant,1019
502,Edwards's Pheasant,218
503,Swinhoe's Pheasant,1042
505,Salvadori's Pheasant,121
506,Crestless Fireback,69
507,Crested Fireback,566
508,Siamese Fireback,578
509,Bulwer's Pheasant,66
510,White Eared Pheasant,272
511,Tibetan Eared Pheasant,96
512,Brown Eared Pheasant,212
513,Blue Eared Pheasant,282
514,Cheer Pheasant,234
515,Elliot's Pheasant,142
516,Mrs. Hume's Pheasant,468
517,Mikado Pheasant,981
518,Copper Pheasant,298
519,Reeves's Pheasant,429
520,Common Pheasant,2816
521,Green Pheasant,428
522,Golden Pheasant,2041
523,Lady Amherst's Pheasant,724
524,Bronze-tailed Peacock-Pheasant,53
525,Mountain Peacock-Pheasant,425
526,Germain's Peacock-Pheasant,123
527,Grey Peacock-Pheasant,458
528,Hainan Peacock-Pheasant,7
529,Malayan Peacock-Pheasant,237
530,Bornean Peacock-Pheasant,31
531,Palawan Peacock-Pheasant,450
532,Crested Argus,72
533,Great Argus,625
534,Indian Peafowl,2401
535,Green Peafowl,980
536,Congo Peafowl,288
537,Red-throated Loon,2837
538,Black-throated Loon,2331
539,Pacific Loon,1787
540,Common Loon,2692
541,Yellow-billed Loon,1222
542,King Penguin,1812
543,Emperor Penguin,1556
544,Gentoo Penguin,2423
545,Adelie Penguin,2057
546,Chinstrap Penguin,1187
547,Fiordland Penguin,361
548,Snares Penguin,242
549,Erect-crested Penguin,149
550,Southern Rockhopper Penguin,1788
551,Northern Rockhopper Penguin,226
552,Royal Penguin,511
553,Macaroni Penguin,849
554,Yellow-eyed Penguin,1325
555,Little Penguin,1246
556,African Penguin,2387
557,Magellanic Penguin,2259
558,Humboldt Penguin,2166
559,Galapagos Penguin,1212
560,Wilson's Storm Petrel,1420
561,Elliot's Storm Petrel,526
562,Pincoya Storm Petrel,80
563,Grey-backed Storm Petrel,178
564,White-faced Storm Petrel,630
565,White-bellied Storm Petrel,134
566,Black-bellied Storm Petrel,224
567,New Zealand Storm Petrel,184
568,Polynesian Storm Petrel,72
569,Laysan Albatross,1957
570,Black-footed Albatross,2140
571,Waved Albatross,1519
572,Short-tailed Albatross,677
573,Wandering Albatross,2223
574,Antipodean Albatross,354
575,Amsterdam Albatross,65
576,Tristan Albatross,173
577,Southern Royal Albatross,1398
578,Northern Royal Albatross,630
579,Sooty Albatross,347
580,Light-mantled Albatross,562
581,Black-browed Albatross,2404
582,Campbell Albatross,463
583,Shy Albatross,2443
584,Chatham Albatross,239
585,Salvin's Albatross,769
586,Grey-headed Albatross,550
587,Atlantic Yellow-nosed Albatross,569
588,Indian Yellow-nosed Albatross,490
589,Buller's Albatross,722
590,European Storm Petrel,618
591,Least Storm Petrel,109
592,Wedge-rumped Storm Petrel,241
593,Band-rumped Storm Petrel,462
594,Monteiro's Storm Petrel,21
595,Cape Verde Storm Petrel,18
596,Swinhoe's Storm Petrel,76
597,Leach's Storm Petrel,818
598,Townsend's Storm Petrel,62
599,Ainley's Storm Petrel,2
600,Markham's Storm Petrel,38
601,Tristram's Storm Petrel,70
602,Black Storm Petrel,324
603,Guadalupe Storm Petrel,19
604,Matsudaira's Storm Petrel,95
605,Ashy Storm Petrel,176
606,Hornby's Storm Petrel,57
607,Fork-tailed Storm Petrel,637
608,Southern Giant Petrel,1895
609,Northern Giant Petrel,1440
610,Northern Fulmar,2942
611,Southern Fulmar,615
612,Antarctic Petrel,337
613,Cape Petrel,1211
614,Snow Petrel,449
615,Blue Petrel,241
616,Broad-billed Prion,156
617,Salvin's Prion,60
618,Antarctic Prion,444
619,Slender-billed Prion,214
620,Fairy Prion,619
621,Fulmar Prion,93
622,Kerguelen Petrel,74
623,Great-winged Petrel,287
624,White-headed Petrel,211
625,Grey-faced Petrel,210
626,Atlantic Petrel,99
627,Providence Petrel,362
628,Magenta Petrel,43
629,Murphy's Petrel,153
630,Soft-plumaged Petrel,252
631,Zino's Petrel,77
632,Fea's Petrel,207
633,Desertas Petrel,94
634,Bermuda Petrel,190
635,Black-capped Petrel,564
636,Jamaican Petrel,8
637,Juan Fernandez Petrel,151
638,Vanuatu Petrel,4
639,Kermadec Petrel,229
640,Herald Petrel,72
641,Trindade Petrel,107
642,Henderson Petrel,42
643,Phoenix Petrel,101
644,Barau's Petrel,164
645,Hawaiian Petrel,188
646,Galapagos Petrel,191
647,Mottled Petrel,192
648,White-necked Petrel,163
649,Black-winged Petrel,250
650,Chatham Petrel,34
651,Bonin Petrel,173
652,Gould's Petrel,120
653,Collared Petrel,71
654,Cook's Petrel,314
655,De Filippi's Petrel,84
656,Stejneger's Petrel,56
657,Pycroft's Petrel,46
658,Mascarene Petrel,30
659,St. Helena Petrel,3
660,Tahiti Petrel,327
661,Beck's Petrel,25
662,Fiji Petrel,10
663,Grey Petrel,142
664,White-chinned Petrel,1122
665,Spectacled Petrel,150
666,Black Petrel,245
667,Westland Petrel,397
668,Streaked Shearwater,232
669,Scopoli's Shearwater,1515
670,Cory's Shearwater,1006
671,Cape Verde Shearwater,173
672,Wedge-tailed Shearwater,820
673,Buller's Shearwater,555
674,Sooty Shearwater,1008
675,Short-tailed Shearwater,612
676,Pink-footed Shearwater,828
677,Flesh-footed Shearwater,557
678,Great Shearwater,1015
679,Christmas Shearwater,113
680,Manx Shearwater,2043
681,Yelkouan Shearwater,306
682,Balearic Shearwater,606
683,Bryan's Shearwater,3
684,Black-vented Shearwater,810
685,Townsend's Shearwater,26
686,Newell's Shearwater,50
687,Rapa Shearwater,6
688,Fluttering Shearwater,321
689,Hutton's Shearwater,146
690,Audubon's Shearwater,487
691,Persian Shearwater,145
692,Tropical Shearwater,94
693,Galapagos Shearwater,478
694,Bannerman's Shearwater,33
695,Heinroth's Shearwater,16
696,Little Shearwater,121
697,Subantarctic Shearwater,63
698,Barolo Shearwater,74
699,Boyd's Shearwater,50
700,Peruvian Diving Petrel,137
701,Magellanic Diving Petrel,41
702,South Georgia Diving Petrel,80
703,Common Diving Petrel,177
704,Bulwer's Petrel,328
705,Olson's Petrel,2
706,Jouanin's Petrel,113
707,Alaotra Grebe,13
708,Little Grebe,2957
709,Tricolored Grebe,35
710,Australasian Grebe,2166
711,Madagascan Grebe,93
712,Least Grebe,2099
713,Pied-billed Grebe,2855
714,Atitlan Grebe,36
715,White-tufted Grebe,1153
716,Titicaca Grebe,212
717,Hoary-headed Grebe,1194
718,New Zealand Grebe,274
719,Great Grebe,1316
720,Red-necked Grebe,2835
721,Great Crested Grebe,3120
722,Horned Grebe,2830
723,Black-necked Grebe,2746
724,Colombian Grebe,12
725,Silvery Grebe,1000
726,Junin Grebe,143
727,Hooded Grebe,254
728,Western Grebe,2711
729,Clark's Grebe,1849
730,Greater Flamingo,2728
731,American Flamingo,2733
732,Chilean Flamingo,2542
733,Lesser Flamingo,1442
734,Andean Flamingo,892
735,James's Flamingo,660
736,Red-billed Tropicbird,1837
737,Red-tailed Tropicbird,1306
738,White-tailed Tropicbird,1662
739,Wood Stork,3064
740,Milky Stork,934
741,Yellow-billed Stork,2722
742,Painted Stork,3077
743,Asian Openbill,2763
744,African Openbill,1343
745,Black Stork,3030
746,Abdim's Stork,975
747,Woolly-necked Stork,1957
748,Storm's Stork,294
749,Maguari Stork,1141
750,White Stork,3205
751,Oriental Stork,630
752,Black-necked Stork,1764
753,Saddle-billed Stork,2412
754,Jabiru,2757
755,Lesser Adjutant,1549
756,Greater Adjutant,557
757,Marabou Stork,1689
758,African Sacred Ibis,2956
759,Malagasy Sacred Ibis,113
760,Reunion Ibis,5
761,Black-headed Ibis,1950
762,Australian White Ibis,2637
763,Straw-necked Ibis,1903
764,Red-naped Ibis,893
765,White-shouldered Ibis,129
766,Giant Ibis,94
767,Northern Bald Ibis,2295
768,Southern Bald Ibis,648
769,Crested Ibis,859
770,Olive Ibis,45
771,Sao Tome Ibis,43
772,Spot-breasted Ibis,15
773,Hadada Ibis,2217
774,Wattled Ibis,336
775,Plumbeous Ibis,934
776,Buff-necked Ibis,2457
777,Black-faced Ibis,1817
778,Andean Ibis,269
779,Sharp-tailed Ibis,227
780,Green Ibis,1103
781,Bare-faced Ibis,1872
782,American White Ibis,2842
783,Scarlet Ibis,2650
784,Glossy Ibis,2995
785,White-faced Ibis,2724
786,Puna Ibis,721
787,Madagascan Ibis,216
788,Eurasian Spoonbill,2868
789,Black-faced Spoonbill,1932
790,African Spoonbill,2052
791,Royal Spoonbill,2824
792,Yellow-billed Spoonbill,1679
793,Roseate Spoonbill,2979
794,Forest Bittern,80
795,White-crested Tiger Heron,32
796,Rufescent Tiger Heron,2560
797,Fasciated Tiger Heron,627
798,Bare-throated Tiger Heron,2249
799,Agami Heron,898
800,Boat-billed Heron,1657
801,Zigzag Heron,150
802,Eurasian Bittern,2077
803,Australasian Bittern,247
804,American Bittern,2215
805,Pinnated Bittern,376
806,Stripe-backed Bittern,195
807,Least Bittern,2057
808,Little Bittern,2318
809,Black-backed Bittern,156
810,New Zealand Bittern,15
811,Yellow Bittern,1869
812,Von Schrenck's Bittern,180
813,Cinnamon Bittern,682
814,Dwarf Bittern,249
815,Black Bittern,855
816,White-eared Night Heron,28
817,Japanese Night Heron,216
818,Malayan Night Heron,2020
819,White-backed Night Heron,160
820,Black-crowned Night Heron,2980
821,Ascension Night Heron,4
822,Reunion Night Heron,1
823,Mauritius Night Heron,2
824,Rodrigues Night Heron,6
825,Nankeen Night Heron,1927
826,Yellow-crowned Night Heron,2814
827,Bermuda Night Heron,2
828,Green Heron,3031
829,Lava Heron,854
830,Striated Heron,2947
831,Squacco Heron,3024
832,Indian Pond Heron,2980
833,Chinese Pond Heron,2014
834,Javan Pond Heron,1059
835,Malagasy Pond Heron,184
836,Rufous-bellied Heron,179
837,Western Cattle Egret,2456
838,Eastern Cattle Egret,612
839,Grey Heron,3146
840,Great Blue Heron,2937
841,Cocoi Heron,2803
842,White-necked Heron,1532
843,Black-headed Heron,1568
844,Humblot's Heron,145
845,White-bellied Heron,185
846,Great-billed Heron,629
847,Goliath Heron,2137
848,Purple Heron,2735
849,Great Egret,2992
850,Intermediate Egret,1844
851,Capped Heron,1141
852,Whistling Heron,2388
853,Pied Heron,440
854,White-faced Heron,2930
855,Reddish Egret,2674
856,Black Heron,1087
857,Slaty Egret,185
858,Tricolored Heron,3112
859,Little Blue Heron,3119
860,Snowy Egret,3095
861,Little Egret,3074
862,Western Reef Heron,2430
863,Dimorphic Egret,341
864,Pacific Reef Heron,2452
865,Chinese Egret,749
866,Hamerkop,2836
867,Shoebill,2123
868,Great White Pelican,2891
869,Pink-backed Pelican,2310
870,Spot-billed Pelican,1937
871,Dalmatian Pelican,2577
872,Australian Pelican,2968
873,American White Pelican,2694
874,Brown Pelican,2991
875,Peruvian Pelican,2319
876,Ascension Frigatebird,211
877,Christmas Frigatebird,205
878,Magnificent Frigatebird,2349
879,Great Frigatebird,1980
880,Lesser Frigatebird,552
881,Northern Gannet,2785
882,Cape Gannet,978
883,Australasian Gannet,2451
884,Abbott's Booby,78
885,Blue-footed Booby,3136
886,Peruvian Booby,1093
887,Masked Booby,1862
888,Nazca Booby,2566
889,Red-footed Booby,2115
890,Brown Booby,2685
891,Little Pied Cormorant,2222
892,Reed Cormorant,925
893,Crowned Cormorant,203
894,Little Cormorant,1422
895,Pygmy Cormorant,651
896,Red-legged Cormorant,853
897,Flightless Cormorant,1047
898,Bank Cormorant,224
899,Spotted Shag,596
900,Pitt Shag,74
901,Pallas's Cormorant,28
902,Brandt's Cormorant,2142
903,Pelagic Cormorant,2051
904,Red-faced Cormorant,449
905,Neotropic Cormorant,2741
906,Double-crested Cormorant,2701
907,European Shag,2742
908,Black-faced Cormorant,530
909,Indian Cormorant,1196
910,Little Black Cormorant,1960
911,Australian Pied Cormorant,2561
912,Great Cormorant,2995
913,White-breasted Cormorant,1131
914,Japanese Cormorant,349
915,Cape Cormorant,794
916,Socotra Cormorant,289
917,Rock Shag,901
918,Guanay Cormorant,658
919,Imperial Shag,1600
920,South Georgia Shag,196
921,Antarctic Shag,453
922,Heard Island Shag,19
923,Crozet Shag,30
924,Macquarie Shag,58
925,Kerguelen Shag,62
926,New Zealand King Shag,163
927,Otago Shag,173
928,Foveaux Shag,19
929,Chatham Shag,24
930,Campbell Shag,69
931,Auckland Shag,87
932,Bounty Shag,37
933,Oriental Darter,2469
934,African Darter,1847
935,Australasian Darter,2234
936,Anhinga,2695
937,Turkey Vulture,3038
938,Lesser Yellow-headed Vulture,1771
939,Greater Yellow-headed Vulture,549
940,Black Vulture,3011
941,King Vulture,2477
942,California Condor,1844
943,Andean Condor,2525
944,Secretarybird,2432
945,Western Osprey,2624
946,Eastern Osprey,1051
947,Black-winged Kite,2866
948,Black-shouldered Kite,2396
949,White-tailed Kite,2845
950,Letter-winged Kite,233
951,Pearl Kite,906
952,Scissor-tailed Kite,154
953,African Harrier-Hawk,1262
954,Madagascan Harrier-Hawk,159
955,Palm-nut Vulture,1116
956,Bearded Vulture,2297
957,Egyptian Vulture,3012
958,Madagascan Serpent Eagle,17
959,Grey-headed Kite,528
960,White-collared Kite,78
961,Hook-billed Kite,890
962,Cuban Kite,29
963,European Honey Buzzard,2381
964,Crested Honey Buzzard,1590
965,Barred Honey Buzzard,33
966,Philippine Honey Buzzard,35
967,Swallow-tailed Kite,2402
968,Square-tailed Kite,695
969,Black-breasted Buzzard,542
970,African Cuckoo-Hawk,201
971,Madagascan Cuckoo-Hawk,68
972,Jerdon's Baza,291
973,Pacific Baza,890
974,Black Baza,658
975,Long-tailed Honey Buzzard,56
976,Black Honey Buzzard,21
977,Hooded Vulture,2427
978,White-backed Vulture,2751
979,White-rumped Vulture,589
980,Indian Vulture,524
981,Slender-billed Vulture,164
982,Rüppell's Vulture,547
983,Himalayan Vulture,1154
